,query,region,title,excerpt,date,source,link
38,semiconductor,US,Two Chip Stocks to Bet on Electric Vehicles and Autonomous Driving,He singled out two companies as plays on electric vehicles and ADAS: NXP Semiconductors (NXPI) and ON Semiconductor (ON). NXP is the largest automotive-chip ...,15 Jan 2020,Barron's,https://www.barrons.com/articles/two-chip-stocks-to-bet-on-electric-vehicles-and-autonomous-driving-51579124647
39,semiconductor,US,【CES 2020】Seoul Semiconductor to Mass Produce Micro ...,"This year at CES, Seoul Semiconductor finally revealed its Micro LED series products for the first time ever since the Korean LED maker announced that it ...",14 Jan 2020,LEDinside,https://www.ledinside.com/interview/2020/1/ces2020_seoulsemiconductor_microled
40,semiconductor,US,Lithium - What Lithium Is Used For - Lithium Uses,"The obstacle, for a long time, was to find a semiconductor that also contained lithium. ... “You can find good semiconductors, but they don't have lithium.",16 Jan 2020,Popular Mechanics,https://www.popularmechanics.com/science/a30555289/lithium-neutron-detector/
41,semiconductor,US,The fallout from the Japan–South Korea trade ruckus on ...,"South Korean semiconductor companies, such as Samsung Electronics and SK Hynix, are major targets of Japan's export controls. They are hubs in global supply ...",20 Jan 2020,East Asia Forum,https://www.eastasiaforum.org/2020/01/20/the-fallout-from-the-japan-south-korea-trade-ruckus-on-global-trade-rules/
42,semiconductor,US,Semiconductor Stocks Lead The Charge As Industry Cycle ...,"Muse forecast in a Jan. 13 report that semiconductor industry revenue will rise 11% in 2020. ""Semiconductors are a secular growth story, on the cusp of true ...",17 Jan 2020,Investor's Business Daily,https://www.investors.com/news/semiconductor-stocks-lead-charge-industry-cycle-turns-up/
43,semiconductor,US,AI And Big Data Set To Reinvent Semiconductor Industry,"Regina Freed is managing director of patterning technology at Applied Materials. She has more than 20 years of experience in the semiconductor industry, ...",23 Jan 2020,Semiconductor Engineering,https://semiengineering.com/ai-and-big-data-set-to-reinvent-semiconductor-industry/
44,semiconductor,US,Semiconductor R&D to nudge higher through 2024,"While consolidation in the semiconductor industry contributed to lower growth rates in R&D spending in the past five years, the long-term trend has been for a ...",31 Jan 2020,Evertiq,https://evertiq.com/news/47650
45,semiconductor,US,Analogix Introduces Industry's Lowest Power UHD eDP TCON ...,"Analogix Semiconductor, Inc. designs and manufactures semiconductors for the digital multimedia market, from portable devices such as smartphones, ...",6 Jan 2020,Business Wire,https://www.businesswire.com/news/home/20200106005237/en/Analogix-Introduces-Industry%E2%80%99s-Lowest-Power-UHD-eDP-TCON-With-3D-Color-Gamut-Rotation-and-In-Cell-Touch
46,semiconductor,US,"Amid trade row with Japan, South Korea gains Dupont investment to make chip materials","The new investment will also go towards the production of CMP pads, which are polishing pads used during the semiconductor manufacturing process, the ministry ...",8 Jan 2020,Reuters,https://www.reuters.com/article/us-southkorea-japan-dupont-de-idUSKBN1Z805B
47,semiconductor,US,Semiconductors again top list of S. Korea's export items in 2019,"Semiconductors continued to top the list of South Korea's largest export items last year, data showed Tuesday. Outbound shipments of semiconductors came to ...",28 Jan 2020,The Korea Herald,http://www.koreaherald.com/view.php?ud=20200128000651
